ENABLED,CATEGORY,ARTIST/TYPE,EVENT,EVENT_DATE,WINDOW_START,WINDOW_END,DURATION_DAYS,TIER,PRICE_CHANGE_%,KEYWORDS,NOTES
TRUE,Art - Pop,Death NYC,General Premium,2026-12-31,2026-01-01,2026-12-31,365,MINOR,5,"Death NYC, DEATH NYC",Year-round baseline
TRUE,Art - Street,Shepard Fairey,Obama Hope Anniversary,2026-01-17,2026-01-07,2026-01-19,12,MEDIUM,15,"Shepard Fairey, Obey Giant, Obey",Annual event
TRUE,Art - Pop,Muhammad Ali,Muhammad Ali Birthday,2026-01-17,2026-01-07,2026-01-19,12,MEDIUM,15,"Muhammad Ali, Ali, boxing",Annual birthday
TRUE,Music,Matt Maeson,Matt Maeson Birthday,2026-01-17,2026-01-07,2026-01-19,12,MEDIUM,15,Matt Maeson,Annual birthday
TRUE,Space/NASA,Buzz Aldrin,Buzz Aldrin Birthday,2026-01-20,2026-01-10,2026-01-22,12,MEDIUM,15,"Buzz Aldrin, Aldrin, Apollo 11, Apollo",Annual birthday
TRUE,Music - Beatles,George Harrison,George Harrison Birthday,2026-02-25,2026-02-15,2026-02-27,12,MEDIUM,15,"George Harrison, Harrison",Annual birthday
TRUE,Music - Beatles,Beatles,Ed Sullivan Anniversary,2026-02-09,2026-01-30,2026-02-11,12,MEDIUM,15,"Beatles, Lennon, McCartney",Historic performance
TRUE,Art - Pop,Andy Warhol,Warhol Death Anniversary,2026-02-22,2026-02-08,2026-02-24,16,MAJOR,25,"Warhol, Andy Warhol",Major anniversary
FALSE,Space/NASA,Apollo 11,Moon Landing Anniversary,2026-07-20,2026-07-06,2026-07-22,16,PEAK,35,"Apollo 11, Moon Landing, NASA, Armstrong, Aldrin",Activate closer to date
FALSE,Music - Beatles,John Lennon,Lennon Death Anniversary,2026-12-08,2026-11-24,2026-12-10,16,MAJOR,25,"John Lennon, Lennon, Yoko",Activate closer to date
FALSE,Art - Street,All Street Art,Art Basel Miami,2026-12-05,2026-11-28,2026-12-07,9,PEAK,35,"Death NYC, Shepard Fairey, Banksy",Major art event
FALSE,Music,Taylor Swift,Taylor Swift Birthday,2026-12-13,2026-12-03,2026-12-15,12,MEDIUM,15,Taylor Swift,Annual birthday
FALSE,Music,Green Day,American Idiot Anniversary,2026-09-21,2026-09-11,2026-09-23,12,MEDIUM,15,"Green Day, Billie Joe",Album anniversary
FALSE,Music,Blink-182,Enema of the State Anniversary,2026-06-01,2026-05-22,2026-06-03,12,MEDIUM,15,"Blink-182, Blink 182",Album anniversary
FALSE,Space/NASA,Neil Armstrong,Neil Armstrong Birthday,2026-08-05,2026-07-26,2026-08-07,12,MEDIUM,15,"Neil Armstrong, Armstrong",Annual birthday
FALSE,Disney,Snow White,Snow White Anniversary,2026-12-21,2026-12-14,2026-12-23,9,MEDIUM,15,"Snow White, Disney",1937 release anniversary
FALSE,Disney,Mickey Mouse,Mickey Mouse Birthday,2026-11-18,2026-11-11,2026-11-20,9,MEDIUM,15,"Mickey, Disney, Mickey Mouse",Annual birthday
FALSE,Art - Pop,Andy Warhol,Warhol Birthday,2026-08-06,2026-07-27,2026-08-08,12,MEDIUM,15,"Warhol, Andy Warhol",Annual birthday
